[2026-03-05 10:18:03] IP: 85.172.30.82 | User: admin | Action: LOGIN | Details: Successful login via form
[2026-03-05 10:18:06] IP: 85.172.30.82 | User: admin | Action: LOGOUT | Details: User logged out
[2026-03-05 10:19:06] IP: 85.172.30.82 | User: admin | Action: LOGIN | Details: Successful login via form
[2026-03-05 10:19:12] IP: 85.172.30.82 | User: admin | Action: UPDATE_STATUS | Details: Updated application ID: 7 to status: completed
[2026-03-05 10:19:16] IP: 85.172.30.82 | User: admin | Action: DELETE | Details: Deleted application ID: 7
[2026-03-05 10:19:18] IP: 85.172.30.82 | User: admin | Action: LOGOUT | Details: User logged out
[2026-03-05 10:19:20] IP: 85.172.30.82 | User: admin | Action: LOGIN | Details: Successful login via form
[2026-03-06 09:19:06] IP: 95.139.44.178 | User: admin | Action: LOGIN | Details: Successful login via form
[2026-03-06 09:19:50] IP: 95.139.44.178 | User: admin | Action: DELETE | Details: Deleted application ID: 9
[2026-03-06 09:19:52] IP: 95.139.44.178 | User: admin | Action: DELETE | Details: Deleted application ID: 8
[2026-03-07 14:43:06] IP: 193.242.105.45 | User: admin | Action: LOGIN | Details: Successful login via form
[2026-03-07 14:43:19] IP: 193.242.105.45 | User: admin | Action: LOGOUT | Details: User logged out
[2026-03-09 11:23:58] IP: 95.139.44.7 | User: admin | Action: LOGIN | Details: Successful login via form
[2026-03-09 20:38:17] IP: 95.139.44.7 | User: admin | Action: LOGIN | Details: Successful login via form
[2026-03-10 13:51:36] IP: 212.69.87.125 | User: admin | Action: LOGIN | Details: Successful login via form
[2026-03-10 14:08:08] IP: 95.139.44.7 | User: admin | Action: LOGIN | Details: Successful login via form
[2026-03-11 14:30:08] IP: 85.172.30.82 | User: admin | Action: LOGIN | Details: Successful login via form
[2026-03-13 09:35:39] IP: 95.139.44.7 | User: admin | Action: LOGIN | Details: Successful login via form
[2026-03-13 17:55:07] IP: 212.69.87.125 | User: admin | Action: TIMEOUT | Details: Session expired
[2026-03-13 17:55:08] IP: 212.69.87.125 | User: admin | Action: LOGIN | Details: Successful login via form
[2026-03-14 23:16:54] IP: 95.139.44.7 | User: admin | Action: LOGIN | Details: Successful login via form
[2026-03-16 09:33:42] IP: 85.172.30.82 | User: admin | Action: LOGIN | Details: Successful login via form
[2026-03-16 17:09:33] IP: 212.69.87.125 | User: admin | Action: LOGIN | Details: Successful login via form
[2026-03-17 10:18:42] IP: 85.249.163.193 | User: admin | Action: LOGIN | Details: Successful login via form
[2026-03-17 16:37:56] IP: 212.69.87.125 | User: admin | Action: LOGIN | Details: Successful login via form
[2026-03-18 09:49:42] IP: 85.172.30.82 | User: admin | Action: LOGIN | Details: Successful login via form
[2026-03-18 10:10:52] IP: 85.172.30.82 | User: admin | Action: DELETE | Details: Deleted application ID: 10
